country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0,0,0,0.0,AS
Albania,89,132,54,4.9,EU
Algeria,25,0,14,0.7,AF
Andorra,245,138,312,12.4,EU
Angola,217,57,45,5.9,AF
Antigua & Barbuda,102,128,45,4.9,NA
Argentina,193,25,221,8.3,SA
Armenia,21,179,11,3.8,EU
Australia,261,72,212,10.4,OC
Austria,279,75,191,9.7,EU
Azerbaijan,21,46,5,1.3,EU
Bahamas,122,176,51,6.3,NA
Bahrain,42,63,7,2.5,AS
Bangladesh,0,0,0,0.0,AS
Barbados,143,173,36,6.3,NA
Belarus,142,373,42,14.4,EU
Belgium,295,84,212,10.5,EU
Belize,263,114,8,6.8,NA
Benin,34,4,13,1.1,AF
Bhutan,23,0,0,0.4,AS
Bolivia,167,41,8,3.8,SA
Bosnia & Herzegovina,76,101,16,4.6,EU
Botswana,173,35,35,5.4,AF
Brazil,245,145,16,7.2,SA
Brunei,31,2,1,0.6,AS
Bulgaria,231,252,94,10.3,EU
Burkina Faso,25,7,7,4.3,AF
Burundi,88,0,0,1.8,AF
Cambodia,57,16,1,2.2,AS
Cameroon,147,18,4,5.8,AF
Canada,240,122,100,8.2,NA
Cape Verde,144,56,16,6.7,AF
Central African Republic,17,3,1,1.8,AF
Chad,15,1,3,0.4,AF
Chile,130,124,172,7.6,SA
China,127,192,8,5.0,AS
Colombia,159,76,3,4.2,SA
Congo,77,29,2,1.2,AF
Costa Rica,149,87,11,4.4,NA
Croatia,230,87,254,12.0,EU
Cuba,23,98,5,3.0,NA
Cyprus,192,154,113,8.2,EU
Czech Republic,361,170,134,13.7,EU
Denmark,224,81,278,10.4,EU
Djibouti,15,3,3,1.1,AF
Dominica,170,213,36,6.5,NA
Dominican Republic,193,147,9,6.3,NA
Ecuador,162,56,3,4.2,SA
Egypt,89,3,14,0.2,AF
El Salvador,52,69,2,2.2,NA
Equatorial Guinea,92,24,20,5.8,AF
Eritrea,13,2,19,0.1,AF
Estonia,224,178,59,10.3,EU
Ethiopia,20,3,0,0.7,AF
Fiji,115,74,1,3.7,OC
Finland,263,133,97,10.0,EU
France,127,151,370,11.8,EU
Gabon,347,98,59,8.9,AF
Gambia,8,2,1,0.1,AF
Georgia,52,100,21,2.6,EU
Germany,346,117,175,11.8,EU
Ghana,31,7,10,0.7,AF
Greece,133,112,218,8.3,EU
Guatemala,52,46,2,1.8,NA
Guinea,22,2,1,0.2,AF
Guinea-Bissau,28,31,2,2.6,AF
Guyana,93,302,14,7.4,SA
Haiti,1,22,1,0.3,NA
Honduras,69,98,2,3.3,NA
Hungary,234,215,185,11.3,EU
Iceland,233,61,78,6.6,EU
India,9,114,13,4.3,AS
Indonesia,5,1,0,0.1,AS
Iran,0,0,0,0.0,AS
Iraq,0,2,0,0.2,AS
Ireland,313,118,165,11.4,EU
Israel,63,69,9,2.5,AS
Italy,85,42,237,6.5,EU
Jamaica,82,97,9,3.4,NA
Japan,77,202,16,7.0,AS
Jordan,15,4,1,0.5,AS
Kazakhstan,124,246,12,8.4,EU
Kenya,58,22,2,1.8,AF
Kuwait,12,53,2,0.7,AS
Kyrgyzstan,31,97,6,2.4,AS
Laos,62,0,1,1.4,AS
Latvia,281,216,62,12.9,EU
Lebanon,72,67,19,2.3,AS
Lesotho,32,3,1,1.3,AF
Liberia,52,4,3,0.7,AF
Libya,0,0,0,0.0,AF
Lithuania,343,244,56,12.9,EU
Luxembourg,236,133,271,11.4,EU
Madagascar,24,2,1,0.3,AF
Malawi,16,7,1,1.0,AF
Malaysia,11,18,1,0.3,AS
Mali,7,1,1,0.1,AF
Malta,149,100,120,6.6,EU
Mauritania,3,1,2,0.1,AF
Mauritius,98,31,18,2.6,AF
Mexico,238,68,5,5.5,NA
Moldova,109,315,18,12.9,EU
